product_code,description,batch_code
S80TR,LG S80TR SOUND BAR 5.1.3CH WITH REAR SPK,
S80TR,LG S80TR SOUND BAR 5.1.3CH WITH REAR SPK,0052125156
,LG S80TR SOUND BAR 5.1.3CH WITH REAR SPK,151251564
S95TR,LG 9.1.5CH 810W DOLBY ATMOS SOUNDBAR,
S95TR,LG 9.1.5CH 810W DOLBY ATMOS SOUNDBAR,005212408113
,LG 9.1.5CH 810W DOLBY ATMOS SOUNDBAR,15124082
SC9S,LG 3.1.3CH 400W DOLBY ATMOS WI-FI SOUND,
SC9S,LG 3.1.3CH 400W DOLBY ATMOS WI-FI SOUND,0057124004158
,LG 3.1.3CH 400W DOLBY ATMOS WI-FI SOUND,5212311720
SG10TY,LG 3.1CH 420W DOLBY ATMOS SOUNDBAR,
SG10TY,LG 3.1CH 420W DOLBY ATMOS SOUNDBAR,005212408114
,LG 3.1CH 420W DOLBY ATMOS SOUNDBAR,5212408124
XT7S,LG STANBYME XT7S BLUETOOTH SPEAKER,
XT7S,LG STANBYME XT7S BLUETOOTH SPEAKER,5212418442
DMPBD84GNK,PANA 2D BLURAY PLAYER,
DMPBD84GNK,PANA 2D BLURAY PLAYER,0057124004241
,PANA 2D BLURAY PLAYER,151191371
DMRBWT460GN,PANA 500GB BLURAY RECORDER 2 HD TUNERS,
DMRBWT460GN,PANA 500GB BLURAY RECORDER 2 HD TUNERS,0057124004244
DMRBWT955GL,PANA 3D 2TB 3 TUNER B/RAY RCDR,
DMRBWT955GL,PANA 3D 2TB 3 TUNER B/RAY RCDR,0057124004242
,PANA 3D 2TB 3 TUNER B/RAY RCDR,151242914
DMRHWT260GN,PANA 1 TB PVR SMARTTWIN HD TUNER,
DMRHWT260GN,PANA 1 TB PVR SMARTTWIN HD TUNER,0057124004240
DMRPWT560GN,PANA 500GB BD PLAYER/ RECORD 2XTUNERS 3D,
DMRPWT560GN,PANA 500GB BD PLAYER/ RECORD 2XTUNERS 3D,0057124004243
,PANA 500GB BD PLAYER/ RECORD 2XTUNERS 3D,15121039
DPUB150GNK,PANASONIC 4K HDR10+ PLAYER,
DPUB150GNK,PANASONIC 4K HDR10+ PLAYER,0057124004245
,PANASONIC 4K HDR10+ PLAYER,15122237
RC800GNK,PANA FM RADIO DUAL ALARM MEMORY BACK-UP,
